# origin=center, cell_size_um=20.0, domain_size_um=1500.0, description="Same 1000-cell spheroid positions as initial_cells_1000_center_1500.csv with every cell Quiescent / glycoATP ON / mitoATP OFF (stability search start state; Growth_Arrest would halve consumption in the metabolism node)"
x,y,phenotype,gene_Proliferation,gene_glycoATP,gene_mitoATP
-11,11,Quiescent,false,true,false
11,11,Quiescent,false,true,false
-11,-11,Quiescent,false,true,false
10,-12,Quiescent,false,true,false
-10,12,Quiescent,false,true,false
12,-10,Quiescent,false,true,false
-12,10,Quiescent,false,true,false
12,10,Quiescent,false,true,false
-12,-10,Quiescent,false,true,false
10,12,Quiescent,false,true,false
-10,-12,Quiescent,false,true,false
7,-14,Quiescent,false,true,false
-7,14,Quiescent,false,true,false
14,-7,Quiescent,false,true,false
-14,7,Quiescent,false,true,false
14,7,Quiescent,false,true,false
-14,-7,Quiescent,false,true,false
7,14,Quiescent,false,true,false
-7,-14,Quiescent,false,true,false
5,-15,Quiescent,false,true,false
-5,15,Quiescent,false,true,false
